id,userID,placeID,rating,food_rating,service_rating
1,U1077,135085,2,2,2
2,U1077,135038,2,2,1
3,U1077,132825,2,2,2
4,U1077,135060,1,2,2
5,U1068,135104,1,1,2
6,U1068,132740,0,0,0
7,U1068,132663,1,1,1
8,U1068,132732,0,0,0
9,U1068,132630,1,1,1
10,U1067,132584,2,2,2
11,U1067,132733,1,1,1
12,U1067,132732,1,2,2
13,U1067,132630,1,0,1
14,U1067,135104,0,0,0
15,U1067,132560,1,0,0
16,U1103,132584,1,2,1
17,U1103,132732,0,0,2
18,U1103,132630,1,2,0
19,U1103,132613,2,2,2
20,U1103,132667,1,2,2
21,U1103,135104,1,2,0
22,U1103,132663,1,0,2
23,U1103,132733,2,2,2
24,U1107,132660,2,2,1
25,U1107,132584,2,2,2
26,U1107,132733,2,2,2
27,U1044,135088,2,2,2
28,U1044,132583,1,2,1
29,U1070,132608,2,2,1
30,U1070,132609,1,1,1
31,U1070,132613,1,1,0
32,U1031,132663,0,0,0
33,U1031,132665,0,0,0
34,U1031,132668,0,0,0
35,U1082,132630,1,1,1
36,U1023,132715,0,0,0
37,U1023,132717,0,0,0
38,U1082,132613,0,0,0
39,U1082,132594,0,0,0
40,U1082,132608,0,0,0
41,U1082,132609,0,0,0
42,U1082,132663,0,0,0
43,U1082,132560,0,0,0
44,U1060,132564,2,2,2
45,U1060,132717,2,2,2
46,U1060,132733,2,1,2
47,U1060,132740,1,2,1
48,U1015,135071,0,0,0
49,U1123,132733,1,2,1
50,U1123,132608,1,2,1
51,U1123,135104,2,2,2
52,U1123,132584,1,2,0
53,U1123,132667,1,2,1
54,U1123,132740,1,1,1
55,U1123,132613,1,2,1
56,U1123,132594,1,1,1
57,U1021,132740,2,2,1
58,U1026,132626,2,2,2
59,U1021,132668,2,2,2
60,U1021,132715,2,2,1
61,U1044,134987,0,0,0
62,U1083,135034,2,2,2
63,U1083,132723,1,1,1
64,U1083,135046,2,2,1
65,U1108,135075,2,2,2
66,U1108,132572,1,2,1
67,U1108,135074,2,2,1
68,U1108,135028,1,1,1
69,U1108,135085,1,2,1
70,U1108,135032,2,1,2
71,U1108,135086,1,1,0
72,U1108,132723,2,2,2
73,U1108,135046,1,2,1
74,U1108,135058,1,1,1
75,U1012,135001,1,1,2
76,U1012,134983,2,2,2
77,U1012,134996,2,2,2
78,U1093,135019,2,2,2
79,U1093,134996,2,2,2
80,U1093,135001,2,2,2
81,U1093,134976,2,2,1
82,U1093,134999,2,2,2
83,U1030,135018,2,2,2
84,U1093,135013,2,2,1
