id,userID,placeID,rating,food_rating,service_rating
1,U1077,135085,2,2,2
2,U1108,135085,1,2,1
3,U1081,135085,1,2,1
4,U1056,135085,2,2,2
5,U1134,135085,2,1,2
6,U1116,135085,2,2,2
7,U1132,135085,2,2,2
8,U1120,135085,0,0,0
9,U1036,135085,2,2,2
10,U1084,135085,2,2,2
11,U1113,135085,1,2,1
12,U1104,135085,2,2,1
13,U1106,135085,2,2,2
14,U1045,135085,2,2,2
15,U1016,135085,2,2,0
16,U1007,135085,1,2,0
17,U1013,135085,1,2,0
18,U1001,135085,0,1,1
19,U1135,135085,0,0,0
20,U1032,135085,1,1,1
21,U1062,135085,0,0,0
22,U1092,135085,0,0,0
23,U1109,135085,2,2,2
24,U1122,135085,2,2,1
25,U1098,135085,1,2,1
26,U1033,135085,2,2,2
27,U1089,135085,1,1,1
28,U1027,135085,1,1,1
29,U1029,135085,1,1,1
30,U1086,135085,2,1,1
31,U1137,135085,2,1,2
32,U1046,135085,1,2,1
33,U1090,135085,2,2,2
34,U1059,135085,2,2,2
35,U1049,135085,0,0,0
36,U1002,135085,1,1,1
37,U1077,132825,2,2,2
38,U1055,132825,2,2,2
39,U1053,132825,1,2,0
40,U1081,132825,1,0,1
41,U1001,132825,2,2,1
42,U1056,132825,2,2,2
43,U1134,132825,1,2,1
44,U1116,132825,2,2,2
45,U1024,132825,1,1,0
46,U1132,132825,2,2,2
47,U1036,132825,2,2,2
48,U1071,132825,2,2,2
49,U1049,132825,0,0,0
50,U1104,132825,1,2,1
51,U1045,132825,2,1,1
52,U1009,132825,1,1,0
53,U1135,132825,0,0,0
54,U1062,132825,0,0,0
55,U1109,132825,2,2,2
56,U1085,132825,2,2,2
57,U1098,132825,1,1,1
58,U1003,132825,2,2,1
59,U1091,132825,0,1,1
60,U1029,132825,1,1,0
61,U1137,132825,2,2,1
62,U1114,132825,0,0,0
63,U1061,132825,1,2,1
64,U1057,132825,1,1,0
65,U1025,132825,0,0,0
66,U1059,132825,2,1,1
67,U1006,132825,1,1,1
68,U1002,132825,2,2,0
69,U1077,135060,1,2,2
70,U1053,135060,2,2,1
71,U1064,135060,1,0,1
72,U1125,135060,1,0,2
73,U1022,135060,1,1,2
74,U1116,135060,0,0,0
75,U1024,135060,1,0,2
